Cantidad_Envios,Ejercicios_unicos_caller,Cant_envios_paso,Cant_envios_no_paso,Cant_ejerc_pasoTotal_envios,Cant_ejerc_no_pasoTotal_envios,dif_ejerciciosUnicos_Paso,cant_envios,cant_ejercicios_unicos,f_primer_envio,f_ultimo_envio,tiempo_invertido,tiempo_invertido_horas,tiempo_invertido_dias,Avance_caller,avg_tiempo,ID_ultimo_ejercicio_enviado,Ejercicios_unicos_other,Avance_other,Avance_original
33,10,17,16,10,6,0,33,10,2019-08-30 13:17:17.700,2019-09-23 13:17:13.695,23 days 23:59:55.995000,576.0,24.0,0,17.454545454545453,10,36,Deserto,1
41,10,20,21,10,5,0,41,10,2019-09-04 01:29:22.351,2019-09-04 19:38:12.556,0 days 18:08:50.205000,18.15,0.7562,0,0.44268292682926824,10,40,Completo,0
79,7,14,65,6,5,1,79,7,2019-09-04 02:53:01.099,2019-09-28 20:24:59.484,24 days 17:31:58.385000,593.53,24.7304,0,7.513037974683544,7,9,Deserto,1
56,10,19,37,9,6,1,56,10,2019-09-05 14:24:31.797,2019-10-23 12:54:42.385,47 days 22:30:10.588000,1150.5,47.9375,0,20.544642857142858,8,22,Deserto,1
88,9,15,73,7,6,2,88,9,2019-09-23 12:21:30.215,2019-09-23 13:50:20.032,0 days 01:28:49.817000,1.48,0.0617,0,0.01681818181818182,9,19,Deserto,1
56,9,14,42,8,7,1,56,9,2019-09-23 12:21:33.166,2019-09-23 13:32:05.553,0 days 01:10:32.387000,1.18,0.0492,0,0.02107142857142857,9,9,Deserto,1
98,10,18,80,10,8,0,98,10,2019-09-23 12:21:55.508,2019-09-23 13:53:44.824,0 days 01:31:49.316000,1.53,0.0638,0,0.015612244897959184,10,37,Deserto,1
74,10,21,53,9,7,1,74,10,2019-09-23 12:22:51.696,2019-09-23 13:54:33.525,0 days 01:31:41.829000,1.53,0.0638,0,0.020675675675675676,10,16,Deserto,1
60,9,17,43,9,6,0,60,9,2019-09-23 12:22:55.905,2019-09-23 14:24:11.815,0 days 02:01:15.910000,2.02,0.0842,0,0.033666666666666664,10,13,Deserto,1
86,9,19,67,7,7,2,86,9,2019-09-23 12:23:09.365,2019-09-26 23:25:00.569,3 days 11:01:51.204000,83.03,3.4596,0,0.9654651162790698,8,15,Deserto,1
123,10,19,104,8,7,2,123,10,2019-09-23 12:23:16.816,2019-09-23 14:57:26.433,0 days 02:34:09.617000,2.57,0.1071,0,0.02089430894308943,10,13,Deserto,1
36,6,14,22,5,4,1,36,6,2019-09-23 12:24:06.921,2019-11-04 10:16:17.717,41 days 21:52:10.796000,1005.87,41.9112,0,27.940833333333334,5,6,Deserto,1
13,2,1,12,1,2,1,13,2,2019-09-23 12:24:08.553,2019-09-23 12:40:39.785,0 days 00:16:31.232000,0.28,0.0117,0,0.02153846153846154,2,2,Deserto,1
57,10,19,38,10,6,0,57,10,2019-09-23 12:24:16.296,2019-09-23 14:26:43.695,0 days 02:02:27.399000,2.04,0.085,0,0.035789473684210524,10,14,Deserto,1
32,9,12,20,8,6,1,32,9,2019-09-23 12:24:36.060,2019-09-23 14:20:05.833,0 days 01:55:29.773000,1.92,0.08,0,0.06,10,18,Deserto,1
77,8,29,48,7,6,1,77,8,2019-09-23 12:24:42.675,2019-11-07 16:11:52.421,45 days 03:47:09.746000,1083.79,45.1579,0,14.075194805194805,8,9,Deserto,1
54,8,14,40,6,6,2,54,8,2019-09-23 12:28:14.340,2019-09-23 13:51:48.364,0 days 01:23:34.024000,1.39,0.0579,0,0.025740740740740738,8,9,Deserto,1
19,10,18,1,10,1,0,19,10,2019-09-23 12:29:32.998,2019-09-23 13:33:58.088,0 days 01:04:25.090000,1.07,0.0446,0,0.056315789473684215,10,31,Deserto,1
53,10,18,35,10,7,0,53,10,2019-09-23 12:30:37.591,2019-09-23 13:43:23.270,0 days 01:12:45.679000,1.21,0.0504,0,0.022830188679245283,5,40,Completo,0
21,5,12,9,4,3,1,21,5,2019-09-23 12:33:58.902,2019-09-23 14:42:53.928,0 days 02:08:55.026000,2.15,0.0896,0,0.10238095238095238,4,6,Deserto,1
31,7,16,15,6,4,1,31,7,2019-09-25 12:15:01.435,2019-09-25 13:22:49.393,0 days 01:07:47.958000,1.13,0.0471,0,0.0364516129032258,7,8,Deserto,1
59,9,18,41,5,7,4,59,9,2019-09-25 12:18:06.733,2019-10-22 21:38:26.577,27 days 09:20:19.844000,657.34,27.3892,0,11.14135593220339,6,10,Deserto,1
39,10,18,21,10,5,0,39,10,2019-09-25 12:18:56.516,2019-09-25 13:03:21.576,0 days 00:44:25.060000,0.74,0.0308,0,0.018974358974358976,10,40,Completo,0
31,10,17,14,10,6,0,31,10,2019-09-25 12:19:54.973,2019-09-25 13:31:09.689,0 days 01:11:14.716000,1.19,0.0496,0,0.038387096774193545,10,17,Deserto,1
48,10,19,29,10,7,0,48,10,2019-09-25 12:21:50.725,2019-09-25 13:50:05.463,0 days 01:28:14.738000,1.47,0.0612,0,0.030625,10,37,Deserto,1
59,9,17,42,9,7,0,59,9,2019-09-25 12:34:04.087,2019-09-25 13:30:52.170,0 days 00:56:48.083000,0.95,0.0396,0,0.016101694915254237,10,37,Deserto,1
50,10,24,26,10,8,0,50,10,2019-09-25 12:52:05.112,2019-11-05 18:22:47.770,41 days 05:30:42.658000,989.51,41.2296,0,19.7902,10,39,Deserto,1
77,10,19,58,10,7,0,77,10,2019-09-25 12:52:59.160,2019-10-02 14:40:47.751,7 days 01:47:48.591000,169.8,7.075,0,2.205194805194805,10,13,Deserto,1
52,9,9,43,9,5,0,52,9,2019-09-25 12:56:14.071,2019-10-02 14:18:31.785,7 days 01:22:17.714000,169.37,7.0571,0,3.2571153846153846,10,15,Deserto,1
42,6,13,29,5,4,1,42,6,2019-09-25 12:57:48.357,2019-09-25 14:18:41.268,0 days 01:20:52.911000,1.35,0.0562,0,0.03214285714285715,6,7,Deserto,1
33,10,18,15,10,6,0,33,10,2019-09-25 13:07:58.959,2019-09-25 14:08:46.553,0 days 01:00:47.594000,1.01,0.0421,0,0.030606060606060605,10,39,Deserto,1
49,10,17,32,10,7,0,49,10,2019-09-25 13:18:44.916,2019-10-02 00:22:32.575,6 days 11:03:47.659000,155.06,6.4608,0,3.1644897959183673,10,40,Completo,0
42,7,18,24,5,5,2,42,7,2019-09-25 13:22:29.547,2019-10-09 03:44:45.181,13 days 14:22:15.634000,326.37,13.5988,0,7.770714285714286,5,16,Deserto,1
68,10,18,50,10,8,0,68,10,2019-09-26 12:09:39.448,2019-09-26 13:11:51.159,0 days 01:02:11.711000,1.04,0.0433,0,0.015294117647058824,10,23,Deserto,1
38,10,17,21,10,5,0,38,10,2019-09-26 12:09:55.626,2019-09-26 12:53:25.886,0 days 00:43:30.260000,0.73,0.0304,0,0.019210526315789473,3,38,Deserto,1
44,10,15,29,10,7,0,44,10,2019-09-26 12:10:06.527,2019-09-26 13:08:39.405,0 days 00:58:32.878000,0.98,0.0408,0,0.022272727272727274,10,40,Completo,0
61,10,18,43,10,8,0,61,10,2019-09-26 12:10:30.232,2019-09-26 13:10:03.260,0 days 00:59:33.028000,0.99,0.0412,0,0.016229508196721313,10,40,Completo,0
40,10,17,23,10,7,0,40,10,2019-09-26 12:10:36.732,2019-09-26 13:12:46.563,0 days 01:02:09.831000,1.04,0.0433,0,0.026000000000000002,10,40,Completo,0
50,10,26,24,10,7,0,50,10,2019-09-26 12:10:56.197,2019-09-26 13:10:54.303,0 days 00:59:58.106000,1.0,0.0417,0,0.02,10,40,Completo,0
59,10,19,40,10,7,0,59,10,2019-09-26 12:11:06.195,2019-09-26 13:12:47.022,0 days 01:01:40.827000,1.03,0.0429,0,0.017457627118644067,10,40,Completo,0
47,10,28,19,10,6,0,47,10,2019-09-26 12:11:11.016,2019-11-11 13:06:13.665,46 days 00:55:02.649000,1104.92,46.0383,0,23.508936170212767,3,40,Completo,0
60,10,18,42,10,7,0,60,10,2019-09-26 12:11:12.801,2019-09-26 13:12:14.098,0 days 01:01:01.297000,1.02,0.0425,0,0.017,10,38,Deserto,1
33,10,19,14,10,6,0,33,10,2019-09-26 12:11:14.690,2019-09-26 13:11:54.504,0 days 01:00:39.814000,1.01,0.0421,0,0.030606060606060605,10,28,Deserto,1
43,10,20,23,10,6,0,43,10,2019-09-26 12:11:28.037,2019-10-03 14:48:00.096,7 days 02:36:32.059000,170.61,7.1088,0,3.9676744186046515,7,36,Deserto,1
50,10,17,33,10,5,0,50,10,2019-09-26 12:12:21.074,2019-09-26 13:14:16.431,0 days 01:01:55.357000,1.03,0.0429,0,0.0206,10,27,Deserto,1
7,2,1,6,1,2,1,7,2,2019-09-26 12:13:49.307,2019-09-26 12:18:48.851,0 days 00:04:59.544000,0.08,0.0033,0,0.011428571428571429,2,2,Deserto,1
50,10,20,30,10,8,0,50,10,2019-09-26 12:14:46.933,2019-09-26 13:13:35.718,0 days 00:58:48.785000,0.98,0.0408,0,0.0196,10,40,Completo,0
30,10,19,11,10,6,0,30,10,2019-09-26 12:27:35.966,2019-09-26 13:42:31.494,0 days 01:14:55.528000,1.25,0.0521,0,0.041666666666666664,10,21,Deserto,1
37,10,18,19,10,4,0,37,10,2019-09-26 13:11:18.191,2019-10-15 18:31:39.562,19 days 05:20:21.371000,461.34,19.2225,0,12.468648648648648,10,27,Deserto,1
30,10,18,12,10,5,0,30,10,2019-09-26 20:00:47.297,2019-10-23 02:36:19.745,26 days 06:35:32.448000,630.59,26.2746,0,21.01966666666667,4,40,Completo,0
19,9,17,2,9,1,0,19,9,2019-09-30 00:15:33.125,2019-09-30 00:50:46.835,0 days 00:35:13.710000,0.59,0.0246,0,0.031052631578947366,10,15,Deserto,1
1,1,1,0,1,0,0,1,1,2019-09-30 12:57:23.864,2019-09-30 12:57:23.864,0 days 00:00:00,0.0,0.0,0,0.0,1,4,Deserto,1
26,10,18,8,10,5,0,26,10,2019-09-30 17:14:11.724,2019-09-30 18:51:01.652,0 days 01:36:49.928000,1.61,0.0671,0,0.06192307692307693,10,40,Completo,0
36,10,19,17,10,5,0,36,10,2019-10-02 12:43:35.608,2019-10-02 14:18:31.527,0 days 01:34:55.919000,1.58,0.0658,0,0.043888888888888894,10,20,Deserto,1
6,1,0,6,0,1,1,6,1,2019-10-02 13:50:16.838,2019-10-02 13:52:02.143,0 days 00:01:45.305000,0.03,0.0012,0,0.005,1,1,Deserto,1
42,4,10,32,4,3,0,42,4,2019-10-02 14:12:24.852,2019-10-09 13:30:00.201,6 days 23:17:35.349000,167.29,6.9704,0,3.983095238095238,6,4,Deserto,1
34,10,13,21,10,5,0,34,10,2019-10-05 21:45:05.098,2019-10-06 15:55:40.396,0 days 18:10:35.298000,18.18,0.7575,0,0.5347058823529411,10,40,Completo,0
66,10,20,46,10,6,0,66,10,2019-10-07 20:43:39.183,2019-10-08 13:51:09.843,0 days 17:07:30.660000,17.13,0.7138,0,0.2595454545454545,5,19,Deserto,1
40,10,12,28,9,6,1,40,10,2019-10-09 12:15:39.562,2019-10-09 13:40:41.685,0 days 01:25:02.123000,1.42,0.0592,0,0.0355,10,11,Deserto,1
69,10,19,50,10,8,0,69,10,2019-10-14 14:46:14.571,2019-10-14 18:55:41.620,0 days 04:09:27.049000,4.16,0.1733,0,0.06028985507246377,10,40,Completo,0
19,9,12,7,9,2,0,19,9,2019-10-15 00:45:44.074,2019-10-15 01:03:29.068,0 days 00:17:44.994000,0.3,0.0125,0,0.015789473684210527,10,12,Deserto,1
37,6,13,24,5,4,1,37,6,2019-10-17 12:49:58.571,2019-10-17 14:41:01.877,0 days 01:51:03.306000,1.85,0.0771,0,0.05,5,7,Deserto,1
21,9,15,6,9,5,0,21,9,2019-10-17 13:17:34.597,2019-10-23 00:25:15.239,5 days 11:07:40.642000,131.13,5.4638,0,6.244285714285714,10,10,Deserto,1
43,8,8,35,5,5,3,43,8,2019-10-22 23:57:02.819,2019-10-23 02:13:54.544,0 days 02:16:51.725000,2.28,0.095,0,0.053023255813953486,8,9,Deserto,1
34,10,18,16,9,8,1,34,10,2019-10-23 14:33:41.193,2019-10-23 16:14:12.672,0 days 01:40:31.479000,1.68,0.07,0,0.04941176470588235,10,15,Deserto,1
3,1,0,3,0,1,1,3,1,2019-10-29 19:21:20.150,2019-10-29 19:23:07.420,0 days 00:01:47.270000,0.03,0.0012,0,0.01,1,1,Deserto,1
44,10,18,26,10,7,0,44,10,2019-11-04 17:50:12.697,2019-11-04 19:28:40.705,0 days 01:38:28.008000,1.64,0.0683,0,0.03727272727272727,10,40,Completo,0
48,10,18,30,9,8,1,48,10,2019-11-21 03:05:03.957,2019-11-21 03:44:16.597,0 days 00:39:12.640000,0.65,0.0271,0,0.013541666666666667,10,36,Deserto,1
18,6,10,8,4,3,2,18,6,2019-12-09 00:14:09.992,2019-12-09 13:47:44.655,0 days 13:33:34.663000,13.56,0.565,0,0.7533333333333334,5,7,Deserto,1
70,10,22,48,10,7,0,70,10,2020-05-07 02:45:33.862,2020-05-11 03:18:12.506,4 days 00:32:38.644000,96.54,4.0225,0,1.3791428571428572,10,40,Completo,0
32,10,19,13,10,5,0,32,10,2020-05-08 00:01:06.226,2020-05-08 23:13:25.440,0 days 23:12:19.214000,23.21,0.9671,0,0.7253125,10,40,Completo,0
93,9,19,74,9,6,0,93,9,2020-05-08 15:10:13.314,2020-05-15 00:37:42.568,6 days 09:27:29.254000,153.46,6.3942,0,1.6501075268817205,10,37,Deserto,1
152,10,18,134,10,6,0,152,10,2020-05-08 17:28:47.113,2020-05-15 12:41:19.569,6 days 19:12:32.456000,163.21,6.8004,0,1.07375,9,40,Completo,0
55,10,21,34,10,5,0,55,10,2020-05-08 19:40:00.788,2020-05-15 00:51:41.399,6 days 05:11:40.611000,149.19,6.2162,0,2.7125454545454546,10,40,Completo,0
31,10,19,12,10,2,0,31,10,2020-05-08 19:51:17.513,2020-05-10 15:45:50.602,1 days 19:54:33.089000,43.91,1.8296,0,1.4164516129032256,10,40,Completo,0
50,10,29,21,10,5,0,50,10,2020-05-08 21:12:31.782,2020-05-15 00:11:53.201,6 days 02:59:21.419000,146.99,6.1246,0,2.9398,10,40,Completo,0
26,10,20,6,10,4,0,26,10,2020-05-08 21:58:23.965,2020-05-08 23:27:01.479,0 days 01:28:37.514000,1.48,0.0617,0,0.05692307692307692,10,40,Completo,0
43,10,20,23,10,6,0,43,10,2020-05-09 22:24:25.034,2020-05-10 00:48:43.334,0 days 02:24:18.300000,2.41,0.1004,0,0.05604651162790698,10,40,Completo,0
41,10,21,20,10,6,0,41,10,2020-05-10 20:34:24.648,2020-06-16 19:09:32.764,36 days 22:35:08.116000,886.59,36.9413,0,21.624146341463415,1,40,Completo,0
99,10,20,79,10,7,0,99,10,2020-05-10 20:49:13.361,2020-05-15 12:32:13.264,4 days 15:42:59.903000,111.72,4.655,0,1.1284848484848484,10,26,Deserto,1
65,10,18,47,10,7,0,65,10,2020-05-11 18:34:16.099,2020-05-15 01:35:26.294,3 days 07:01:10.195000,79.02,3.2925,0,1.2156923076923076,10,38,Deserto,1
67,10,17,50,8,4,2,67,10,2020-05-11 23:06:46.196,2020-05-15 13:24:19.253,3 days 14:17:33.057000,86.29,3.5954,0,1.2879104477611942,9,38,Deserto,1
97,10,22,75,10,7,0,97,10,2020-05-12 01:27:24.577,2020-05-14 22:47:52.793,2 days 21:20:28.216000,69.34,2.8892,0,0.7148453608247423,10,40,Completo,0
80,10,28,52,10,6,0,80,10,2020-05-12 02:32:55.659,2020-06-22 19:44:01.068,41 days 17:11:05.409000,1001.18,41.7158,0,12.51475,1,40,Completo,0
