Cantidad_Envios,Ejercicios_unicos_caller,Cant_envios_paso,Cant_envios_no_paso,Cant_ejerc_pasoTotal_envios,Cant_ejerc_no_pasoTotal_envios,dif_ejerciciosUnicos_Paso,cant_envios,cant_ejercicios_unicos,f_primer_envio,f_ultimo_envio,tiempo_invertido,tiempo_invertido_horas,tiempo_invertido_dias,Avance_caller,avg_tiempo,ID_ultimo_ejercicio_enviado,Ejercicios_unicos_other,Avance_other,Avance_original
31,10,19,12,10,6,0,31,10,2020-09-08 14:24:05.597,2020-09-08 15:08:27.432,0 days 00:44:21.835000,0.74,0.0308,0,0.023870967741935485,10,40,Completo,0
48,10,19,29,10,5,0,48,10,2020-09-08 14:24:05.031,2020-09-29 12:22:46.010,20 days 21:58:40.979000,501.98,20.9158,0,10.457916666666668,1,40,Completo,0
60,10,20,40,10,6,0,60,10,2020-09-08 14:24:18.080,2020-09-12 21:24:22.038,4 days 07:00:03.958000,103.0,4.2917,0,1.7166666666666666,10,40,Completo,0
28,10,19,9,10,5,0,28,10,2020-09-08 14:24:26.905,2020-09-08 15:03:26.837,0 days 00:38:59.932000,0.65,0.0271,0,0.023214285714285715,10,40,Completo,0
51,10,20,31,10,8,0,51,10,2020-09-08 14:23:57.134,2020-09-08 18:26:21.639,0 days 04:02:24.505000,4.04,0.1683,0,0.07921568627450981,10,40,Completo,0
25,9,10,15,9,6,0,25,9,2020-09-08 14:24:20.243,2020-09-08 15:05:06.616,0 days 00:40:46.373000,0.68,0.0283,0,0.027200000000000002,10,39,Deserto,1
49,10,16,33,10,6,0,49,10,2020-09-08 14:23:59.817,2020-09-08 15:31:19.219,0 days 01:07:19.402000,1.12,0.0467,0,0.02285714285714286,10,39,Deserto,1
45,9,23,22,9,4,0,45,9,2020-09-08 14:24:21.813,2020-09-08 14:57:35.043,0 days 00:33:13.230000,0.55,0.0229,0,0.012222222222222223,10,37,Deserto,1
30,10,19,11,10,5,0,30,10,2020-09-08 14:24:35.613,2020-09-08 15:06:09.244,0 days 00:41:33.631000,0.69,0.0288,0,0.023,10,40,Completo,0
63,10,20,43,8,8,2,63,10,2020-09-08 14:24:44.680,2020-09-27 21:39:06.527,19 days 07:14:21.847000,463.24,19.3017,0,7.353015873015873,7,37,Deserto,1
